Title,Author,Publication Year,Pages,Genre
Frankenstein,Mary Shelley,1818,0,horror
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1886,0,horror
The Picture of Dorian Gray,Oscar Wilde,1890,0,horror
Dracula,Bram Stoker,1897,0,horror
And Then There Were None,Agatha Christie,1939,0,horror
I Am Legend,Richard Matheson,1954,0,horror
The Haunting of Hill House,Shirley Jackson,1959,0,horror
Psycho,Robert Bloch,1959,208,horror
We Have Always Lived in the Castle,Shirley Jackson,1962,0,horror
Rosemary's Baby,Ira Levin,1967,308,horror
The Exorcist,William Peter Blatty,1971,0,horror
Hell House,Richard Matheson,1971,301,horror
Jaws,Peter Benchley,1974,368,horror
Carrie,Stephen King,1974,0,horror
Salem's Lot,Stephen King,1975,483,horror
Interview with the Vampire,Anne Rice,1976,346,horror
The Amityville Horror,Jay Anson,1977,315,horror
The Shining,Stephen King,1977,0,horror
The Stand,Stephen King,1978,1152,horror
Ghost Story,Peter Straub,1979,567,horror
Red Dragon,Thomas Harris,1981,454,horror
Fevre Dream,George R.R. Martin,1982,368,horror
Pet Sematary,Stephen King,1983,0,horror
The Damnation Game,Clive Barker,1985,433,horror
It,Stephen King,1986,0,horror
The Hellbound Heart,Clive Barker,1986,164,horror
Swan Song,Robert McCammon,1987,956,horror
Misery,Stephen King,1987,370,horror
Watchers,Dean Koontz,1987,624,horror
The Silence of the Lambs,Thomas Harris,1988,0,horror
The Girl Next Door,Jack Ketchum,1989,370,horror
American Psycho,Bret Easton Ellis,1991,399,horror
Out,Natsuo Kirino,1997,400,horror
House of Leaves,Mark Z. Danielewski,2000,710,horror
Coraline,Neil Gaiman,2002,0,horror
Let the Right One In,John Ajvide Lindqvist,2004,513,horror
The Girl with the Dragon Tattoo,Stieg Larsson,2005,0,horror
The Road,Cormac McCarthy,2006,0,horror
Heart-Shaped Box,Joe Hill,2007,376,horror
The Terror,Dan Simmons,2007,835,horror
The Graveyard Book,Neil Gaiman,2008,0,horror
Horns,Joe Hill,2010,370,horror
The Passage,Justin Cronin,2010,784,horror
Gone Girl,Gillian Flynn,2012,0,horror
NOS4A2,Joe Hill,2013,692,horror
A Head Full of Ghosts,Paul Tremblay,2015,287,horror
The Cabin at the End of the World,Paul Tremblay,2018,272,horror
The Southern Book Club's Guide to Slaying Vampires,Grady Hendrix,2020,410,horror
The Final Girl Support Group,Grady Hendrix,2021,352,horror
The Reformatory,Tananarive Due,2023,576,horror
